Brand,Model_Type,Model_Name,Number_Of_Seats,Trunk_Volume,Wheel_Base,Empty_Weight,Tank,Urban_Consumption,Mixed_Consumption,Extra_Urban_Consumption,CO2,Number_Cylinders,Valves_Per_Cylinder,Displacement,Din_Power,Engine_Torque,Fiscal_Power,Engine_Position,Power_Supply,Max_Speed,Supercharging_Type,Acceleration,Transmission,Box,Number_Speeds,Distribution,Bodywork,Front_Tire_Width,Rear_Tire_Width,Front_Tire_HL_Ratio,Rear_Tire_HL_Ratio,Front_Suspension,Rear_Suspension,Front_Rims_Diameter,Rear_Rims_Diameter,Maintenance_Interval,Month_Guarantee,Manufacturer_Country,Start_Marketing,End_Marketing,Vehicle_Image,Length,Width,Height,Website_URL,Year
RENAULT,CLIO,IV (2) 1.5 DCI 110 ENERGY STEEL,5,300 L (maximum volume 1146 l),2.59 m,1204 kg,45 l,3.8 l / 100 km ,3.5 l / 100 km ,3.3 l / 100 km ,90 g / km ,4 ,2,1461 cc,110 hp at the speed of 4000 rpm,220 Nm at the 1750 rpm diet,5 cv ,no data,common diesel ramp ,190 km/h ,turbo ,no data,before,Made Coinique,6 ,no data,hayon sedan ,205 mm,205 mm,45,45 ,force force,twisting axle,17 inches ,17 inches ,24 months ,24 months ,France ,06/03/18 ,03/05/18 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+(2)+1.5+dci+110+energy+steel-2017.html,2017
RENAULT,CLIO,IV (2) ESTATE 1.5 DCI 90 ENERGY STEEL,5,445 l (maximum volume 1380 l),2.59 m,1182 kg,45 l,3.5 l / 100 km ,3.3 l / 100 km ,3.1 l / 100 km ,85 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,4 cv ,no data,Diesel Common Rampe ,180 km/h ,Turbo ,12 sec ,before ,mèsique ,5 ,no data,Break ,205 mm ,205 mm ,45 ,45 ,Strength leg ,twisting axle ,17 inches ,17 inches ,24 months ,24 months ,France ,06/03/18 ,03/05/18 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4-estate/S7-modele--renault-clio-4-estate.jpg,"4,27 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+(2)+estate+1.5+dci+90+energy+steel-2017.html,2017
RENAULT,CLIO,IV 0.9 TCE 90 ENERGY INTENS ECO2,5,300 L (Max 1146 L volume),2.59 m,1009 kg,45 l,5.6 l / 100 km ,4.5 l / 100 km ,3.9 l / 100 km ,105 g / km ,3 ,4,898 cc,90 hp with a speed of 5,135 nm with a diet of 2500 rpm,5 cv ,no data,Multipoint ,182 km/h ,Turbo ,12.2 sec ,before,Made Coinique,5 ,no data,hayon sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches ,16 inches ,24 months ,24 months ,no data,04/09/12 ,08/11/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+0.9+tce+90+energy+intens+eco2-2015.html,2015
PEUGEOT,206,SW 1.6 16S GRIFFE,5,313 L (maximum volume 1136 l),2.44 m,1073 kg,50 l,8.7 l / 100 km ,6.7 l / 100 km ,5.5 l / 100 km ,no data,4 ,4 ,1587 cc ,110 hp at the 5750 rpm regime ,147 Nm with a regime of 4000 rpm ,7 cv ,before ,no data,194 km/h ,no data,11.8 sec ,Before ,Made Coinique ,no data,Variable Setting up of the valves,Break,195 mm,195 mm,55,55 ,no data,no data,15 inches ,15 inches ,no data,24 months ,no data,05/05/03 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206-sw/S7-modele--peugeot-206-sw.jpg,"4,03 m","1,65 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-sw+1.6+16s+griffe-2004.html,2004
PEUGEOT,2008,1.6 BLUEHDI 75 ACTIVE,5,350 l (maximum volume 1194 l),2.54 m,1160 kg,50 l,4.4 l / 100 km ,3.7 l / 100 km ,3.3 l / 100 km ,97 g / km ,4 ,2,1560 cc,75 hp at 3500 rpm regime,230 Nm on the diet of 1750 rpm,4 cv ,no data,Diesel Common Ramp ,165 km/h ,Turbo ,13.8 sec ,before ,mèsique ,5 ,no data,Crossover ,195 mm ,195 mm ,60 ,60 ,no data,no data,16 inches,16 inches,12 months,24 months,no data,02/ 05/16 ,05/09/16 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-1.6+bluehdi+75+active-2015.html,2015
PEUGEOT,206,(2) 1.4 75 GENERATION 5P,5,245 L (Max 1130 L volume),2.44 m,950 kg,50 l,8.8 l / 100 km ,6.4 l / 100 km ,5 l / 100 km ,152 g / km ,4 ,2,1360 cc,75 hp at 5500 rpm regime,120 Nm with a diet of 3400 rpm,5 cv ,before ,no data,171 km/h ,no data,12.7 sec ,before,Made Coinique,5 ,simple camshaft in mind ,tailgate vehicle ,175 mm ,175 mm ,65 ,65 ,no data,no data,14 inches ,14 inches ,no data,no data,no data,03/03/08 ,03/31/09 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,90 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.4+75+generation+5p-2009.html,2009
RENAULT,CAPTUR,II 1.6 ETECH 145 21 RS LINE EDC,5,305 L (volume max 440 l),2.64 m,1461 kg,48 l,no data,no data,no data,no data,4 ,4 ,1598 cc ,145 hp ,148 nm ,5 cv ,no data,no data,170 km/h ,no data,10.6 sec ,before ,automatic ,4 ,no data,All-terrain ,215 mm ,215 mm ,55 ,55 ,no data,no data,18 inches ,18 inches ,no data,24 months ,no data,22 /03/22 ,08/18/22 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur-2/S7-modele--renault-captur-2.jpg,"4,23 m","1,80 m","1,58 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-ii+1.6+etech+145+21+rs+line+edc-2021.html,2021
PEUGEOT,206,2.0 HDI XT 5P,5,245 L (Max 1130 L volume),2.44 m,1070 kg,50 l,6.6 l / 100 km ,5 l / 100 km ,4.1 l / 100 km ,no data,4 ,2 ,1997 cc ,90 hp with a regime of 4000 rpm ,205 nm at the 1900 rpm diet ,5 cv ,before ,no data,180 km/h ,Turbo ,11.6 sec ,Before ,Made Coinique ,5 ,simple camshaft in mind ,bicorps sedan (3/5 doors) ,185 mm ,185 mm ,65 ,65,no data,no data,14 inches,14 inch ,no data,12 months,no data,01/10/99 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-2.0+hdi+xt+5p-2004.html,2004
RENAULT,CLIO,V 1.0 SCE 65 LIFE 21N,5,391 L (volume max 1069 l),2.58 m,1140 kg,42 l,6.1 l / 100 km ,4.9 l / 100 km ,4.2 l / 100 km ,no data,3 ,4 ,999 cc ,65 hp at the 6250 rpm diet ,95 nm with a diet of 3600 rpm ,4 cv ,no data,Multipoint ,160 km/h ,no data,17.1 sec ,Before ,Made Coinique ,5 ,no data,hayon sedan ,185 mm,185 mm,65,65 ,force force,twisting axle,15 inches ,15 inches ,24 months ,24 months ,France ,01/06/21 ,03/18/22 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.0+sce+65+life+21n-2021.html,2021
PEUGEOT,1007,1.4 16V 90 SPORTY SENSONIC,4,no data,2.32 m,1181 kg,no data,7.9 l / 100 km ,6.2 l / 100 km ,5.2 l / 100 km ,153 g / km ,4 ,2 ,1360 cc ,90 hp at 5500 rpm,120 nm with a diet of 3400 rpm,6 cv,before ,no data,165 km/h ,no data,16.6 sec ,before ,automatic ,5 ,simple camshaft in mind ,monocorps ,195 mm ,195 mm ,50 ,50 ,no data,no data,16 inches ,16 inches ,no data,24 months ,no data,02/01/06 ,02/07/07 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-1007/S7-modele--peugeot-1007.jpg,"3,73 m","1,69 m","1,61 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-1007-1.4+16v+90+sporty+sensonic-2006.html,2006
